date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
01/11/1969;Italy;France;1;0;Euro;Novara;Italy;FALSE
01/11/1969;Denmark;England;4;3;Euro;Aosta;Italy;TRUE
02/11/1969;England;France;2;0;Euro;Turin;Italy;TRUE
02/11/1969;Italy;Denmark;3;1;Euro;Turin;Italy;FALSE
25/08/1975;Thailand;Australia;3;2;AFC Championship;Hong Kong;Hong Kong;TRUE
25/08/1975;Hong Kong;New Zealand;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
27/08/1975;Thailand;Singapore;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
27/08/1975;New Zealand;Malaysia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
29/08/1975;Australia;Singapore;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
29/08/1975;Hong Kong;Malaysia;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
31/08/1975;New Zealand;Australia;3;2;AFC Championship;Hong Kong;Hong Kong;TRUE
31/08/1975;Thailand;Malaysia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
02/09/1975;Australia;Malaysia;5;0;AFC Championship;Hong Kong;Hong Kong;TRUE
02/09/1975;New Zealand;Thailand;3;1;AFC Championship;Hong Kong;Hong Kong;TRUE
02/08/1977;Taiwan;Indonesia;5;0;AFC Championship;Taipei;Taiwan;FALSE
03/08/1977;Thailand;Singapore;2;0;AFC Championship;Taipei;Taiwan;TRUE
05/08/1977;Indonesia;Japan;1;0;AFC Championship;Taipei;Taiwan;TRUE
05/08/1977;Thailand;Hong Kong;5;0;AFC Championship;Taipei;Taiwan;TRUE
07/08/1977;Taiwan;Japan;7;0;AFC Championship;Taipei;Taiwan;FALSE
07/08/1977;Singapore;Hong Kong;1;0;AFC Championship;Taipei;Taiwan;TRUE
09/08/1977;Taiwan;Singapore;3;0;AFC Championship;Taipei;Taiwan;FALSE
09/08/1977;Thailand;Indonesia;2;1;AFC Championship;Taipei;Taiwan;TRUE
11/08/1977;Singapore;Indonesia;2;0;AFC Championship;Taipei;Taiwan;TRUE
11/08/1977;Taiwan;Thailand;1;0;AFC Championship;Taipei;Taiwan;FALSE
18/07/1979;Italy;Northern Ireland;4;0;Euro;Naples;Italy;FALSE
18/07/1979;Denmark;France;3;1;Euro;Naples;Italy;TRUE
19/07/1979;England;Finland;3;1;Euro;Sorrento;Italy;TRUE
19/07/1979;Sweden;Wales;3;0;Euro;Rimini;Italy;TRUE
20/07/1979;Northern Ireland;Norway;1;4;Euro;Naples;Italy;TRUE
20/07/1979;France;Scotland;0;0;Euro;Rimini;Italy;TRUE
21/07/1979;Switzerland;Finland;1;1;Euro;Scafati;Italy;TRUE
21/07/1979;Wales;Netherlands;0;2;Euro;Rimini;Italy;TRUE
22/07/1979;Italy;Norway;2;1;Euro;Benevento;Italy;FALSE
22/07/1979;Denmark;Scotland;2;0;Euro;Riccione;Italy;TRUE
23/07/1979;England;Switzerland;2;0;Euro;Sorrento;Italy;TRUE
23/07/1979;Sweden;Netherlands;1;1;Euro;Rimini;Italy;TRUE
25/07/1979;Italy;England;3;1;Euro;Naples;Italy;FALSE
25/07/1979;Denmark;Sweden;1;0;Euro;Rimini;Italy;TRUE
27/07/1979;Sweden;England;0;0;Euro;Naples;Italy;TRUE
28/07/1979;Italy;Denmark;0;2;Euro;Naples;Italy;FALSE
11/01/1980;India S;Western Australia;2;0;AFC Championship;Calicut;India;FALSE
12/01/1980;India N;Taiwan;0;5;AFC Championship;Calicut;India;FALSE
12/01/1980;India S;Hong Kong;2;0;AFC Championship;Calicut;India;FALSE
13/01/1980;Taiwan;Malaysia;2;0;AFC Championship;Calicut;India;TRUE
13/01/1980;India N;Western Australia;0;3;AFC Championship;Calicut;India;FALSE
14/01/1980;Western Australia;Malaysia;1;0;AFC Championship;Calicut;India;TRUE
14/01/1980;India N;Hong Kong;1;0;AFC Championship;Calicut;India;FALSE
15/01/1980;India S;Taiwan;0;0;AFC Championship;Calicut;India;FALSE
15/01/1980;Hong Kong;Malaysia;2;1;AFC Championship;Calicut;India;TRUE
16/01/1980;India S;India N;1;0;AFC Championship;Calicut;India;FALSE
16/01/1980;Taiwan;Western Australia;2;0;AFC Championship;Calicut;India;TRUE
17/01/1980;Taiwan;Hong Kong;3;0;AFC Championship;Calicut;India;TRUE
17/01/1980;India N;Malaysia;0;3;AFC Championship;Calicut;India;FALSE
18/01/1980;Hong Kong;Western Australia;1;0;AFC Championship;Calicut;India;TRUE
18/01/1980;India S;Malaysia;0;0;AFC Championship;Calicut;India;FALSE
19/01/1980;Taiwan;Western Australia;5;0;AFC Championship;Calicut;India;TRUE
19/01/1980;India S;Hong Kong;3;1;AFC Championship;Calicut;India;FALSE
20/01/1980;India S;Taiwan;0;2;AFC Championship;Calicut;India;FALSE
07/06/1981;Hong Kong;Philippines;2;0;AFC Championship;Hong Kong;Hong Kong;FALSE
07/06/1981;Taiwan;Japan;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
08/06/1981;India;Singapore;5;0;AFC Championship;Hong Kong;Hong Kong;TRUE
08/06/1981;Thailand;Indonesia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
10/06/1981;Hong Kong;Singapore;1;0;AFC Championship;Hong Kong;Hong Kong;FALSE
10/06/1981;India;Philippines;8;0;AFC Championship;Hong Kong;Hong Kong;TRUE
11/06/1981;Taiwan;Indonesia;10;0;AFC Championship;Hong Kong;Hong Kong;TRUE
11/06/1981;Thailand;Japan;2;0;AFC Championship;Hong Kong;Hong Kong;TRUE
12/06/1981;Hong Kong;India;0;0;AFC Championship;Hong Kong;Hong Kong;FALSE
12/06/1981;Singapore;Philippines;4;1;AFC Championship;Hong Kong;Hong Kong;TRUE
13/06/1981;Taiwan;Thailand;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
13/06/1981;Japan;Indonesia;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
15/06/1981;Thailand;India;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
15/06/1981;Hong Kong;Taiwan;0;1;AFC Championship;Hong Kong;Hong Kong;FALSE
17/06/1981;Hong Kong;India;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
17/06/1981;Thailand;Taiwan;0;5;AFC Championship;Hong Kong;Hong Kong;TRUE
18/08/1982;Finland;Sweden;0;6;UEFA Euro qualification;Vammala;Finland;FALSE
28/08/1982;Norway;Iceland;2;2;UEFA Euro qualification;Tønsberg;Norway;FALSE
04/09/1982;Northern Ireland;Scotland;1;2;UEFA Euro qualification;Belfast;Northern Ireland;FALSE
09/09/1982;Iceland;Sweden;0;6;UEFA Euro qualification;Kópavogur;Iceland;FALSE
15/09/1982;Finland;Norway;0;3;UEFA Euro qualification;Kotka;Finland;FALSE
19/09/1982;England;Northern Ireland;7;1;UEFA Euro qualification;Crewe;England;FALSE
